review_id,title,review_text,date,rating,source,reviewer_name
72cd8777-071b-4107-8384-4ad316414b6f,4.2,(21 Reviews),Unknown,2,BestBuy Canada,Anonymous
5835ffa3-073a-4325-9316-9c8d5890e66b,4.2,(21 Reviews),Unknown,0,BestBuy Canada,Anonymous
43f395ee-cf6d-4802-8749-1dda372038ba,4.2,(21 Reviews)Model:83ED0000CFWeb Code:17930942,Unknown,1,BestBuy Canada,Anonymous
45ebae8d-b16e-44e7-b210-a8b12bb6aab9,4.2,(21 Reviews),Unknown,0,BestBuy Canada,Anonymous
0bf2ea39-aa21-454a-bc8e-8f0214b01f60,(21 Reviews),,Unknown,0,BestBuy Canada,Anonymous
38b9c5e6-7aaf-40ad-acab-504ecabbcae3,,,Unknown,0,BestBuy Canada,Anonymous
45b9f5b9-eb94-4e5d-8afe-02e9c3d76a94,(634 Reviews),,Unknown,0,BestBuy Canada,Anonymous
322ace55-d6c1-498e-a64c-96bbe0fb87f7,(10 Reviews),,Unknown,0,BestBuy Canada,Anonymous
c1fc0dd3-6572-40e2-8faf-84a60f20194f,(65 Reviews),,Unknown,0,BestBuy Canada,Anonymous
82f590b8-6d83-465a-9f8c-455af6d83981,(104 Reviews),,Unknown,0,BestBuy Canada,Anonymous
0c40b684-cc6d-4e8c-8dde-511eea0761f7,(255 Reviews),,Unknown,0,BestBuy Canada,Anonymous
d17ddb36-3e46-4cdc-8113-65cb73c9ef40,(9 Reviews),,Unknown,0,BestBuy Canada,Anonymous
47b3cbb7-c427-4891-b7f4-65f02b8a4dbc,(13 Reviews),,Unknown,0,BestBuy Canada,Anonymous
68bc7515-1735-4d0a-bbe5-9c843f8a6e30,(2 Reviews),,Unknown,0,BestBuy Canada,Anonymous
9d9f3cb4-0175-4cde-8150-cf23e4892584,(3 Reviews),,Unknown,0,BestBuy Canada,Anonymous
2439727a-3bba-4c6e-bf7a-cb859117bc93,(3 Reviews),,Unknown,0,BestBuy Canada,Anonymous
8b9fbb0e-e540-4099-aee1-65808c44a3f0,(89 Reviews),,Unknown,0,BestBuy Canada,Anonymous
